Name, Played Count, Unique Pilots, Total Points, Average Points, Winrate, Non-Mirror No Byes Winrate, Trophies, Top Cuts, 2-X or better Count, Colors, Archetypes, Nicknames
WURG Scapeshift, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, WURG, "midrange", ""
Orzhov Death and Taxes, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, WB, "aggro, midrange", ""
Jeskai Midrange, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, WUR, "midrange", ""
Esper Doomsday, 1, 1, 9, 9.00, 0.75, 0.75, 0, 1, 1, WUB, "combo", ""
Medium Red, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, R, "aggro", ""
Cascade Combo, 2, 1, 15, 7.50, 0.71, 0.80, 1, 1, 1, WURG, "combo", "Mississippi River"
Mardu Midrange, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, WBR, "midrange", ""
Slivers, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, WUBRG, "midrange", ""
WUBG Nadu, 3, 3, 0, 0.00, 0.00, 0.00, 0, 0, 0, WUBG, "combo, midrange", "Sans Red Nadu, 4C Nadu, Nadu Seeker Walk"
Jund Aggro, 2, 1, 7, 3.50, 0.39, 0.47, 0, 0, 0, BRG, "aggro", ""
Rakdos Aggro, 4, 1, 9, 2.25, 0.25, 0.38, 0, 0, 0, BR, "aggro", ""
UBRG Control, 1, 1, 3, 3.00, 0.33, 0.00, 0, 0, 0, UBRG, "control", ""
5C Blink, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, WUBRG, "midrange", ""
Azorius Control, 4, 3, 10, 2.50, 0.28, 0.33, 0, 0, 0, WU, "control", "UW Control"
Jeskai Control, 2, 2, 6, 3.00, 0.33, 0.40, 0, 0, 0, WUR, "control", ""
Dark Bant Reanimator, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, WUBG, "combo", "WUBG Reanimator"
Mono Red Goblins, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, R, "aggro, combo", ""
Dimir High Tide, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, UB, "combo", ""
UBRG Soothsayer, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, UBRG, "combo", ""
Boros Aggro, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, WR, "aggro", ""
5C Superfriends Omnitell, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, WUBRG, "combo", ""
Izzet Tempo, 3, 1, 3, 1.00, 0.11, 0.00, 0, 0, 0, UR, "tempo", ""
Simic Merfolk, 1, 1, 3, 3.00, 0.33, 0.00, 0, 0, 0, UG, "midrange", "UG Merfolk"
Jeskai Tempo, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, WUR, "tempo", ""
WUBG Nadu Control, 1, 1, 3, 3.00, 0.33, 0.00, 0, 0, 0, WUBG, "combo, control", ""
Dimir Midrange, 2, 1, 6, 3.00, 0.33, 0.33, 0, 0, 0, UB, "midrange", ""
Izzet High Tide, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, UR, "combo", ""
Flash Hulk, 1, 1, 3, 3.00, 0.33, 0.50, 0, 0, 0, WUBG, "combo", ""
Temur Slaw, 1, 1, 3, 3.00, 0.33, 0.50, 0, 0, 0, URG, "midrange", ""
Dredge, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, BRG, "midrange", ""
