Date, Players, Unique Decks, Winner, Winning Deck
January 7, 18, 15, Impulse, Jeskai Midrange
January 14, 13, 12, Impulse, Jeskai Midrange
January 21, 17, 17, Impulse, Flash Oath
January 28, 25, 25, Impulse, Jeskai Midrange
February 4, 19, 18, Impulse, Jeskai Midrange
February 11, 18, 17, Impulse, Jeskai Midrange
February 18, 18, 16, Harju, Jeskai Midrange
February 25, 26, 21, Purukogi, Lotus Breach Storm
March 4, 18, 15, Tr33vs, Red Deck Wins
March 11, 21, 19, Impulse, Jeskai Midrange
March 18, 23, 21, Impulse, Jeskai Midrange
March 25, 20, 17, JazzE, Jeskai Midrange
April 1, 20, 18, Impulse, Jeskai Midrange
April 8, 20, 19, Impulse, WURG Tempo
April 22, 18, 17, Fry Guy, Gruul Monsters
April 29, 18, 16, Impulse, Jeskai Midrange
May 6, 25, 23, Impulse, Jeskai Control
May 13, 18, 18, Dentro, Mono Red Goblins
May 20, 20, 19, Impulse, Czech Scapeshift
May 27, 16, 15, Yeti, Humans and Taxes
June 3, 19, 17, Impulse, Jeskai Control
June 10, 17, 16, Yeti, Humans and Taxes
June 17, 14, 12, Wilbur, Esper Reanimator
June 24, 15, 14, Impulse, Jeskai Control
July 1, 16, 16, Purukogi, WUBR Welder
July 8, 13, 13, kelvin, Flash Hulk
July 15, 14, 14, Wilbur, Esper Reanimator
July 22, 14, 14, Axelia, 5C Superfriends Omnitell
July 29, 16, 15, Yeti, Flash Hulk
August 5, 11, 11, Impulse, Jeskai Control
August 12, 8, 8, Xeaji, Mono Black Midrange
August 19, 8, 8, Impulse, Jeskai Control
August 26, 12, 12, Cyclopes8, Schmedium Red
September 2, 12, 12, Impulse, Jeskai Control
September 9, 16, 15, JWyatt, Esper Red
September 16, 19, 17, GenghisPrawn, Czech Midrange
September 23, 15, 15, GenghisPrawn, Czech Midrange
September 30, 12, 12, Cyclopes8, UBRG Thieves
October 7, 18, 17, Impulse, Jeskai Control
October 14, 16, 15, Cymbalman, Jeskai Control
October 21, 19, 19, Yeti, Red Deck Wins
October 28, 16, 15, JWyatt, Jeskai Green
November 4, 11, 11, Cyclopes8, Grixis White Midrange
November 11, 13, 12, JWyatt, Jeskai Tempo
November 18, 14, 13, Cyclopes8, Selesnya Monsters
November 25, 18, 17, Cyclopes8, Bant Painter Control
December 2, 13, 13, Tr33vs, Red Deck Wins
December 9, 14, 14, JWyatt, Jeskai Control
December 16, 12, 12, hyunkim87, Temur Taking Turns
December 23, 12, 11, GenghisPrawn, Czech Midrange
December 30, 13, 11, Raicune, Grixis White Midrange
