Name, Played Count, Unique Pilots, Total Points, Average Points, Winrate, Non-Mirror No Byes Winrate, Trophies, Top Cuts, 2-X or better Count, Colors, Archetypes, Nicknames
5C Superfriends Omnitell, 45, 3, 212, 4.71, 0.49, 0.50, 1, 7, 23, WUBRG, "combo", ""
Jeskai Control, 24, 8, 187, 7.79, 0.77, 0.79, 9, 10, 20, WUR, "control", ""
Jeskai Midrange, 31, 11, 211, 6.81, 0.66, 0.67, 11, 12, 17, WUR, "midrange", ""
Humans and Taxes, 19, 2, 132, 6.95, 0.68, 0.68, 2, 7, 15, W, "aggro", ""
Gruul Monsters, 20, 6, 117, 5.85, 0.60, 0.60, 1, 5, 15, RG, "aggro", ""
Jund Midrange, 17, 4, 96, 5.65, 0.59, 0.60, 0, 3, 12, BRG, "midrange", "Jund Pyromancer"
Jeskai Green, 22, 10, 103, 4.68, 0.48, 0.50, 1, 5, 11, WURG, "control, midrange", "Spearmint, Jeskai Green, Hot Bant, 4C Omnath"
Death and Taxes, 19, 7, 84, 4.42, 0.48, 0.48, 0, 1, 10, W, "aggro, midrange", "DnT"
Czech Midrange, 19, 5, 102, 5.37, 0.55, 0.55, 3, 4, 10, UBRG, "midrange", "Sans White Midrange"
Jeskai Vault, 20, 5, 86, 4.30, 0.47, 0.47, 0, 1, 9, WUR, "combo, midrange", ""
Naya Winota, 10, 2, 63, 6.30, 0.66, 0.63, 0, 2, 9, WRG, "midrange", ""
Red Deck Wins, 15, 4, 93, 6.20, 0.61, 0.63, 3, 5, 9, R, "aggro", "Burn, Mono Red Aggro, RDW"
Temur Taking Turns, 12, 2, 66, 5.50, 0.59, 0.59, 1, 1, 9, URG, "combo", ""
Flash Hulk, 18, 4, 84, 4.67, 0.50, 0.48, 2, 2, 8, WUBG, "combo", ""
Czech Scapeshift, 8, 3, 57, 7.13, 0.73, 0.75, 1, 2, 8, UBRG, "combo, control", ""
Grixis Thoracle, 9, 1, 48, 5.33, 0.59, 0.59, 0, 0, 7, UBR, "combo, tempo", ""
Gruul Aggro, 13, 5, 60, 4.62, 0.50, 0.49, 0, 1, 7, RG, "aggro", "RG Aggro"
Paradox Academy, 19, 7, 75, 3.95, 0.43, 0.42, 0, 1, 6, WURG, "combo", ""
Boros Death and Taxes, 7, 3, 33, 4.71, 0.52, 0.50, 0, 0, 5, WR, "aggro, midrange", "Blood and Taxes"
Naya Initiative, 11, 4, 51, 4.64, 0.47, 0.48, 0, 2, 5, WRG, "midrange", ""
Temur Moon, 9, 5, 42, 4.67, 0.50, 0.52, 0, 1, 5, URG, "control", "RUG Moon"
Jeskai Black, 6, 3, 30, 5.00, 0.56, 0.56, 0, 0, 5, WUBR, "control, midrange", ""
WURG Seeker Walk, 12, 7, 41, 3.42, 0.37, 0.41, 0, 1, 4, WURG, "combo, midrange", "Spearmint Seeker, 4C Seeker Walk, Sans Black Seeker"
Eggs, 12, 6, 37, 3.08, 0.34, 0.34, 0, 0, 4, WURG, "combo", ""
Grixis Reanimator, 12, 6, 41, 3.42, 0.37, 0.40, 0, 1, 4, UBR, "combo", ""
Schmedium Red, 4, 1, 27, 6.75, 0.75, 0.75, 1, 1, 4, R, "aggro", ""
Rakdos Midrange, 6, 2, 24, 4.00, 0.44, 0.47, 0, 0, 3, BR, "midrange", "Black Moon"
Naya Pod, 5, 3, 24, 4.80, 0.50, 0.50, 0, 1, 3, WRG, "combo", ""
Lotusless Breach Storm, 7, 3, 30, 4.29, 0.48, 0.45, 0, 0, 3, WUBRG, "combo", ""
Sultai Midrange, 5, 2, 22, 4.40, 0.49, 0.49, 0, 0, 3, UBG, "midrange", "BUG Midrange"
Mono Black Aggro, 4, 1, 18, 4.50, 0.50, 0.60, 0, 0, 3, B, "aggro", "Sui Black"
Medium Red, 8, 4, 34, 4.25, 0.47, 0.49, 0, 0, 3, R, "aggro", ""
Sultai Doomsday, 4, 2, 21, 5.25, 0.58, 0.58, 0, 0, 3, UBG, "combo", "BUG Doomsday"
UBRG Thoracle, 3, 2, 18, 6.00, 0.67, 0.67, 0, 0, 3, UBRG, "combo, midrange", "Sans White Thoracle"
Black Mold, 4, 1, 18, 4.50, 0.50, 0.55, 0, 0, 3, BG, "aggro", "Black Mould"
Abzan Midrange, 6, 2, 25, 4.17, 0.46, 0.40, 0, 0, 3, WBG, "midrange", ""
Atraxa and Taxes, 8, 4, 32, 4.00, 0.44, 0.42, 0, 0, 3, WUBG, "midrange", ""
Grixis Midrange, 5, 3, 25, 5.00, 0.56, 0.56, 0, 0, 3, UBR, "midrange", ""
Esper Reanimator, 7, 3, 43, 6.14, 0.62, 0.61, 2, 2, 3, WUB, "combo", ""
BUGw Natural Order, 4, 2, 22, 5.50, 0.56, 0.56, 0, 1, 3, WUBG, "midrange", ""
Tinker Lotus Doomsday, 3, 1, 18, 6.00, 0.67, 0.67, 0, 0, 3, UB, "combo", ""
Esper Red, 3, 1, 30, 10.00, 0.83, 0.83, 1, 2, 3, WUBR, "control", ""
Mardu Midrange, 3, 1, 25, 8.33, 0.76, 0.76, 0, 2, 3, WBR, "midrange", ""
Izzet Tempo, 4, 1, 22, 5.50, 0.61, 0.61, 0, 0, 3, UR, "tempo", ""
Jeskai Tempo, 3, 1, 21, 7.00, 0.78, 0.78, 1, 1, 3, WUR, "tempo", ""
Bant Painter Control, 4, 1, 28, 7.00, 0.72, 0.72, 1, 2, 3, WUG, "combo, control", ""
Pattern Rector, 9, 4, 27, 3.00, 0.33, 0.35, 0, 0, 2, WBG, "combo", "Sandy B"
Mono Blue Control, 3, 2, 15, 5.00, 0.50, 0.50, 0, 1, 2, U, "control", ""
Flash Oath, 3, 3, 24, 8.00, 0.67, 0.67, 1, 2, 2, WUBG, "combo", ""
Lotus Breach Storm, 7, 5, 27, 3.86, 0.39, 0.40, 1, 1, 2, WUBRG, "combo", ""
