Explanation
Cell: rows winrate vs column
Example: C7: row 7 vs column C
Green: winrate >= .65
Yellow: winrate <= .35
,Esper Red,Jeskai Control,Citadel Storm,WUBG Nadu Walk,Boros Death and Taxes,Bant Vault,Flash Hulk,Academy Combo,Sultai Midrange,Jund Midrange,Esper Midrange,Sans Red Control,Rakdos Aggro,UW Control,Broodlord Storm,WUBG Nadu,Grixis Midrange,Jeskai Black,Czech Midrange,Blue Moon,Jeskai Black Aggro,Temur Scapeshift Turns,WUBG Vault,Yawgmoth's Will Storm,Rakdos Midrange,WURG Scapeshift,Affinity Pod,4C Blood,Abzan Tokens,Jeskai Tempo,Death and Taxes,Sultai Control,Unknown,WUBG Seeker Walk,Sultai Reanimator,Lotus Breach Storm,Mono Red Goblins,Abzan Midrange,Dimir Tempo,Orzhov Death and Taxes,Mardu Tokens,Naya Midrange,Czech Control,Mono Red Bots,WUBG Oath Control,Golgari Aggro,Mardu Midrange,Rakdos Goblins,WURG Midrange,WUBG Midrange,Grixis Moon,WUBG OmniTell,Esper Time Vault,Bant Academy,Czech Scapeshift,WUBG Nadu Control,Jeskai Midrange,Jeskai Welder,Sultai Lowrange,Esper Control,5C Superfriends Omnitell,Abzan Aggro,Simic Slaw,Golgari Midrange,Mardu Initiative,Temur Midrange,WUBG Flash Rector,Jund Aggro,Naya Aggro,Red Deck Wins,Sultai Storm,Mono Green Eldrazi,Mardu Aggro,Jeskai Wildfires,Jeskai Taxes,Lotusless Breach Storm,Eggs,Naya Counters,Grixis Control,5C Artifact Combo,Abzan Brewmaster,Boros Aggro,Mardu Bots,Grixis Welder,Bant Nadu,Grixis Artifact Midrange,Esper Reanimator,Abzan Time Vault,Orzhov Necro,5C Aggro,Golgari Hoof,5C Paradoxical Outcome,Boros Midrange,Bant Flash Rector,Dimir Reanimator,Naya Landfall Aggro,WUBR Reanimator,Bant Seeker Walk,The Rock,Pattern Rector,Bant Painter Control,Temur Tempo,Sultai Reanimator Control,Selesnya Aggro,Bant Control,Jund Lands,Grixis Tinker,Jeskai Slushie,Amulet Titan,Jeskai Artifact Midrange,Golgari Yawgmoth,Orzhov Midrange,4C Cascade,Grixis Reanimator,Grixis Thoracle,WUBG Oath Lands,Selesnya Cauldron,Mono White Midrange,Naya Monsters
Esper Midrange,0.50,0.00,1.00,1.00,,0.00,0.33,0.67,1.00,1.00,,,1.00,,0.00,,,,0.50,,,,,1.00,,,,,,1.00,0.00,1.00,,,,,,0.33,,,1.00,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sans Red Control,0.60,0.00,0.00,0.00,,,,0.00,1.00,0.33,,,1.00,,0.00,0.00,,,1.00,,,,,,0.00,,,,1.00,,,,,,,,,0.00,,,,0.00,,0.33,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,
Rakdos Aggro,1.00,0.50,1.00,0.17,,,0.00,,,,0.00,0.00,,,,,0.00,0.00,,,,1.00,,1.00,,,,1.00,,,0.00,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,
UW Control,0.00,0.00,0.00,0.50,,0.00,,,0.33,,,,,,,,0.33,,0.00,,,,0.33,,,,,0.00,,1.00,1.00,,1.00,,1.00,,,,,,,,,,,,,,,,1.00,,,0.00,,0.00,,1.00,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broodlord Storm,1.00,1.00,0.00,,1.00,,0.00,,1.00,,1.00,1.00,,,,,1.00,0.00,,1.00,,1.00,,,,,1.00,1.00,,,,,,,,,,,,,,1.00,0.00,,1.00,,,1.00,,,,,,0.00,,,,,,,,,0.00,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.00,,,,,,,,,,,,,,,,,,
WUBG Nadu,0.50,1.00,0.00,,1.00,,0.00,,,,,1.00,,,,,,,0.50,,0.00,,,,,,1.00,1.00,,,,1.00,,,,0.00,0.00,,,,0.00,,,0.00,,,,,,,,,,,,,,,0.00,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,
Grixis Midrange,0.00,,,,0.00,0.00,,1.00,,,,,1.00,0.33,0.00,,,1.00,,,,,,,,,,,1.00,,,,,1.00,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,
Jeskai Black,,,1.00,,,,,,,,,,1.00,,1.00,,0.00,,,,0.00,,0.00,,0.00,,,1.00,,,0.00,0.00,,,,,,,,1.00,,,,,0.00,,,,0.50,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,1.00,,,1.00,,0.00,,,,,,,,,,,,,,,,,,,
Czech Midrange,0.00,0.67,0.00,,,0.00,,,,,0.50,0.00,,1.00,,0.50,,,,0.00,0.00,,,,,1.00,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,1.00,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Moon,,0.33,1.00,,,0.00,,,,,,,,,0.00,,,,1.00,,0.00,1.00,,0.00,,,,,,,,0.00,,,,,,,,1.00,0.00,1.00,,,,1.00,,0.00,,,,,,,,,,,,,,,0.00,,,,,,,0.00,,,,,,,,,,,,,,,,,,,1.00,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeskai Black Aggro,,0.00,1.00,,1.00,1.00,,1.00,,,,,,,,1.00,,1.00,1.00,1.00,,,,,,,,,,,1.00,,,,,,,,1.00,,1.00,0.50,,,,,0.00,1.00,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,0.00,,,,,
Temur Scapeshift Turns,0.00,,1.00,,,,0.00,,1.00,0.00,,,0.00,,0.00,,,,,0.00,,,,,,,,,,0.00,,,,,,,,,,,,,1.00,,,1.00,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,
WUBG Vault,0.50,0.50,1.00,1.00,,,,0.00,,,,,,0.67,,,,1.00,,,,,,,1.00,,,,,,0.00,,1.00,,,,,,,,,,,,1.00,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yawgmoth's Will Storm,0.00,1.00,,,,0.00,,,0.00,,0.00,,0.00,,,,,,,1.00,,,,,,,,1.00,0.50,,,,,,,1.00,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,1.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rakdos Midrange,0.47,0.33,0.00,1.00,1.00,,,,,,,1.00,,,,,,1.00,,,,,0.00,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WURG Scapeshift,0.50,,0.00,,0.50,1.00,,,,0.50,,,,,,,,,0.00,,,,,,,,,,,,,,,,,1.00,,,0.33,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,1.00,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,1.00,0.00
Affinity Pod,,0.00,,,0.50,,,,0.00,0.00,,,,,0.00,0.00,,,,,,,,,0.00,,,,,,,0.00,,,,,,,,1.00,,,,,,,,,,,1.00,0.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4C Blood,1.00,0.00,0.00,0.00,,,,,,,,,0.00,1.00,0.00,0.00,,0.00,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abzan Tokens,0.00,,,,0.00,0.00,,0.50,,0.00,,0.00,,,,,0.00,,,,,,,0.50,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeskai Tempo,,0.33,,1.00,,,,,,0.00,0.00,,,0.00,,,,,,,,1.00,,,,,,,,,,,1.00,,0.33,1.00,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Death and Taxes,,,0.00,,,,,0.00,,,1.00,,1.00,0.00,,,,1.00,,,0.00,,1.00,,,,,,,,,,1.00,,0.00,,,,,0.50,,,,,,,,,,,,,0.00,,,,,,,1.00,,0.00,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sultai Control,0.00,,1.00,0.00,,,,,,,0.00,,,,,0.00,,1.00,,1.00,,,,,,,1.00,,,,,,,,,,,,,0.00,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,1.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,
Unknown,,0.00,,,,,,,,,,,,0.00,,,,,,,,,0.00,,,,,,,0.00,0.00,,,,0.00,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,
WUBG Seeker Walk,,1.00,,,,0.00,,,,1.00,,,,,,,0.00,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,0.33,,1.00,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,
Sultai Reanimator,,,,,,,,,0.00,,,,,0.00,,,,,,,,,,,,,,,,0.33,1.00,,1.00,0.00,,,,,,,,,,,,,,,,,,,0.00,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,
Lotus Breach Storm,1.00,,,1.00,,0.00,,,,1.00,,,,,,1.00,,,,,,,,0.00,,0.00,,,,0.00,,,,,,,,,,,1.00,,,,,1.00,0.00,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mono Red Goblins,,,,,0.00,0.00,0.00,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,0.00,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,
Abzan Midrange,0.00,,0.00,,,,,,,,0.33,1.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,1.00,,0.00,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,
Dimir Tempo,,1.00,,,,,,,0.00,0.00,,,,,,,,,1.00,,0.00,,,,,0.33,,,,0.00,,,,,,,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orzhov Death and Taxes,,,0.00,1.00,,,,1.00,1.00,,,,,,,,1.00,0.00,,0.00,,,,,,,0.00,,,,0.50,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mardu Tokens,,,0.00,,,,0.00,,,,0.00,,,,,1.00,,,,1.00,0.00,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,
Naya Midrange,,1.00,1.00,,,,1.00,1.00,1.00,,,1.00,,,0.00,,,,,0.00,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,
Czech Control,,,0.00,,0.00,,1.00,,,0.00,,,,,1.00,,1.00,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,
Mono Red Bots,0.00,,,0.00,,,,1.00,1.00,,,0.33,0.00,,,1.00,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WUBG Oath Control,,,,1.00,,,,1.00,,,,,0.00,,0.00,,,1.00,,,,,0.00,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golgari Aggro,,,,,,,,0.00,,,,,,,,,1.00,,,0.00,,0.00,,,,,,,,,,,,,,0.00,,0.00,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mardu Midrange,,0.00,,,0.50,,,,0.00,,,,,,,,,,,,1.00,,,,,,,,,,,,,0.00,,1.00,,,,,,,,,,1.00,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rakdos Goblins,,0.00,,,1.00,,,0.00,,,,,,,0.00,,,,,1.00,0.00,,,,,,,,,,,0.50,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WURG Midrange,1.00,0.00,,,0.00,,0.00,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WUBG Midrange,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,0.00,0.00,,,,,,,,,,,,,,
Grixis Moon,1.00,,,,0.00,,,,,,,,,0.00,,,,,,,,,,,,0.00,0.00,,,,,,,,,,1.00,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,
WUBG OmniTell,0.67,,,,1.00,0.50,,,0.00,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,
Esper Time Vault,,,1.00,,,,0.00,,,,,,,,,,,1.00,,,,,,,,,,,,,1.00,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,
Bant Academy,,0.00,,,,,,,,,,,,1.00,1.00,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Scapeshift,0.00,,0.00,,,,,,,,,,1.00,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WUBG Nadu Control,,,,,,0.00,0.00,,,1.00,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeskai Midrange,,,1.00,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeskai Welder,,,,,,,,,,0.00,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sultai Lowrange,,,0.00,,,,0.50,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esper Control,,,,0.00,,0.00,,,,,,,,,,,,,,,,,,,,,0.00,,,,0.00,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5C Superfriends Omnitell,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,
Abzan Aggro,1.00,,1.00,0.00,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simic Slaw,,,0.00,,,0.00,,,,,,,,,1.00,1.00,,,,1.00,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golgari Midrange,0.00,,,1.00,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mardu Initiative,,,,,,,,,,,,,,,0.00,,,,0.00,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,
Temur Midrange,,,,0.00,0.00,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WUBG Flash Rector,,,,,1.00,,0.00,,,1.00,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jund Aggro,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naya Aggro,0.00,,,,0.00,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,
