Name, Played Count, Unique Pilots, Total Points, Average Points, Winrate, Non-Mirror No Byes Winrate, Trophies, Top Cuts, 2-X or better Count, Colors, Archetypes, Nicknames
Esper Control, 2, 2, 6, 3.00, 0.33, 0.33, 0, 0, 1, WUB, "control", ""
Golgari Aggro, 3, 1, 9, 3.00, 0.33, 0.33, 0, 0, 1, BG, "", "Golgari Monsters"
Bant Nadu, 2, 2, 8, 4.00, 0.44, 0.44, 0, 0, 1, WUG, "midrange, combo", ""
Rakdos Goblins, 3, 1, 12, 4.00, 0.44, 0.44, 0, 0, 1, BR, "aggro, combo", "BR Goblins"
Golgari Hoof, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, BG, "combo, midrange", ""
Mardu Initiative, 2, 2, 10, 5.00, 0.56, 0.56, 0, 0, 1, WBR, "midrange", ""
WURG Midrange, 3, 2, 12, 4.00, 0.44, 0.38, 0, 0, 1, WURG, "control, midrange", "Spearmint, Jeskai Green, Hot Bant, 4C Omnath"
Grixis Moon, 3, 3, 12, 4.00, 0.44, 0.44, 0, 0, 1, UBR, "midrange", ""
Naya Landfall Aggro, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, WRG, "aggro", ""
WUBR Reanimator, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, WUBR, "combo", ""
Jund Aggro, 2, 2, 6, 3.00, 0.33, 0.50, 0, 0, 1, BRG, "aggro", ""
Affinity Pod, 6, 1, 12, 2.00, 0.22, 0.27, 0, 0, 1, WUBRG, "midrange", ""
Jund Lands, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, BRG, "midrange", ""
Mono Green Eldrazi, 2, 1, 10, 5.00, 0.56, 0.56, 0, 0, 1, G, "midrange", ""
Mardu Aggro, 2, 1, 9, 4.50, 0.50, 0.60, 0, 0, 1, WBR, "aggro", ""
Jeskai Slushie, 1, 1, 7, 7.00, 0.78, 0.78, 0, 0, 1, WUR, "combo, control", "Jeskai Breach"
Jeskai Wildfires, 2, 1, 9, 4.50, 0.50, 0.50, 0, 0, 1, WUR, "combo", ""
Jeskai Taxes, 2, 1, 12, 6.00, 0.57, 0.57, 0, 1, 1, WUR, "aggro", ""
Grixis Reanimator, 1, 1, 9, 9.00, 1.00, 1.00, 1, 1, 1, UBR, "combo", ""
Naya Monsters, 2, 1, 9, 4.50, 0.50, 0.50, 0, 0, 1, WRG, "aggro", ""
Selesnya Lands Midrange, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, WG, "combo, midrange", ""
WUBR Midrange, 1, 1, 9, 9.00, 0.75, 0.75, 0, 1, 1, WUBR, "midrange", "Sans Green Midrange"
Grixis Tempo, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, UBR, "tempo", ""
Czech Scapeshift, 2, 2, 7, 3.50, 0.39, 0.39, 0, 0, 0, UBRG, "combo, control", ""
Naya Counters, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, WRG, "aggro", ""
Grixis Control, 1, 1, 2, 2.00, 0.22, 0.22, 0, 0, 0, UBR, "control", ""
Unknown, 4, 4, 0, 0.00, 0.00, 0.00, 0, 0, 0, , "", ""
4C Blood, 5, 2, 12, 2.40, 0.27, 0.29, 0, 0, 0, WBRG, "midrange", ""
Jeskai Midrange, 3, 3, 6, 2.00, 0.22, 0.29, 0, 0, 0, WUR, "midrange", ""
