Name, Played Count, Unique Pilots, Total Points, Average Points, Winrate, Non-Mirror No Byes Winrate, Trophies, Top Cuts, 2-X or better Count, Colors, Archetypes, Nicknames
Death and Taxes, 3, 3, 24, 8.00, 0.80, 0.80, 1, 1, 3, W, "aggro, midrange", "DnT"
WUBG Vault, 3, 2, 15, 5.00, 0.50, 0.63, 0, 1, 2, WUBG, "combo", ""
Jeskai Control, 2, 1, 12, 6.00, 0.67, 0.67, 0, 0, 2, WUR, "control", ""
WUBR Welder, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, WUBR, "combo, midrange", ""
Abzan Monsters, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, WBG, "aggro", ""
Gruul Monsters, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, RG, "aggro", ""
Izzet High Tide, 2, 1, 6, 3.00, 0.33, 0.50, 0, 0, 1, UR, "combo", ""
5C Superfriends Omnitell, 3, 1, 9, 3.00, 0.33, 0.38, 0, 0, 1, WUBRG, "combo", ""
Schmedium Red, 1, 1, 12, 12.00, 1.00, 1.00, 1, 1, 1, R, "aggro", ""
Pattern Rector, 1, 1, 9, 9.00, 0.75, 0.75, 0, 1, 1, WBG, "combo", "Sandy B"
Sultai Control, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, UBG, "control", ""
Lotus Breach Storm, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, WUBRG, "combo", ""
Jeskai Black, 2, 1, 9, 4.50, 0.50, 0.50, 0, 0, 1, WUBR, "control, midrange", ""
Rakdos Midrange, 1, 1, 9, 9.00, 1.00, 1.00, 1, 1, 1, BR, "midrange", "Black Moon"
Abzan Midrange, 1, 1, 7, 7.00, 0.78, 0.78, 0, 0, 1, WBG, "midrange", ""
Czech Midrange, 2, 2, 6, 3.00, 0.33, 0.40, 0, 0, 0, UBRG, "midrange", "Sans White Midrange"
Naya Initiative, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, WRG, "midrange", ""
Boros Equipment, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, WR, "aggro", "RW Equipment"
Jund Madness, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, BRG, "aggro", ""
Jeskai Midrange, 2, 2, 0, 0.00, 0.00, 0.00, 0, 0, 0, WUR, "midrange", ""
4C Aristocrats, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, , "midrange", ""
Grixis Tempo, 1, 1, 3, 3.00, 0.33, 0.00, 0, 0, 0, UBR, "tempo", ""
Temur Taking Turns, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, URG, "combo", ""
Temur Tempo, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, URG, "tempo", ""
Esper Control, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, WUB, "control", ""
WUBG Lands, 1, 1, 4, 4.00, 0.44, 0.44, 0, 0, 0, WUBG, "midrange", ""
Flash Hulk, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, WUBG, "combo", ""
Paradox Academy, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, WURG, "combo", ""
Rakdos Monsters, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, BR, "aggro", ""
5C Cascade, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, WUBRG, "midrange", ""
WUBR Midrange, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, WUBR, "midrange", "Sans Green Midrange"
